"lam","U"
100,2890.64566653757
200,802.409999299522
300,392.068584042359
400,240.47059407232
500,166.651892796595
600,124.583893831517
700,98.05719081355
800,80.0499511413404
900,67.3417933897591
1000,57.604549630208
2000,22.3735021761672
3000,13.4875525507368
4000,9.58038481542158
5000,7.40818122845562
