"lam","U"
100,362.458451406125
200,170.319115830224
300,111.128244965036
400,85.1637877529035
500,65.5520722730321
600,55.569811761547
700,46.4374131151801
800,41.2206430914767
900,35.9674415409765
1000,32.3312894945179
2000,16.0561012086298
3000,10.6752229159191
4000,7.99904330755231
5000,6.43145094458408
