"lam","U"
100,463.130240391077
200,226.651847720897
300,122.315662919053
400,88.7376317393603
500,69.5401619500657
600,57.1517045145534
700,48.5016031650763
800,42.1075666665581
900,37.2105578173403
1000,33.3248757042455
2000,16.3037910160187
3000,10.9479948587327
4000,8.05947284014369
5000,6.43553243733326
