"lam","U","duration"
100,40199960669.7694,0.032017694859777
1000,402354695.72709,0.0323865176071355
2500,64471512.9093883,0.0325102809971589
5000,16157410.8290095,0.0321888901532892
7500,7198668.52151012,0.0321427084688143
10000,8118279.19816716,0.0321126664982718
