tps,arrivals,collisions,commits,duration
100,1000,2,998,1
1000,10006,66,9934,18
2000,20007,227,19773,41
3000,30019,483,29517,69
4000,40023,879,39121,98
5000,50030,1388,48612,117
6000,60023,1961,58039,141
7000,70033,2730,67270,172
8000,80038,3403,76597,189
9000,90041,4331,85669,229
10000,100056,5357,94643,246
