tps,arrivals,collisions,commits,duration
1000,10009,9,9991,19
2000,20011,48,19952,43
3000,30018,152,29848,69
4000,40019,213,39787,97
5000,50024,325,49675,121
6000,60027,536,59464,145
7000,70043,736,69264,178
8000,80043,942,79058,205
9000,90046,1080,88920,229
10000,100035,1463,98537,254
