"lam","U"
100,4999.175
1000,499.175637212959
2000,249.58933370139
3000,166.390792208634
4000,124.795126077688
5000,99.8364334026592
6000,83.196389645074
7000,71.3123768139937
8000,62.3957711917031
9000,55.4637833575577
10000,49.918022568797
