"lam","U"
100,320.229610301676
200,160.145861348879
300,106.474544985767
400,79.8018647897525
500,63.8273615089811
600,53.2062249365817
700,45.579352114184
800,39.8855752809319
900,35.445484775617
1000,31.8997531267965
2000,15.9469440518379
3000,10.6295520544027
4000,7.97376013273407
5000,6.37748223743916
