"lam","U"
100,4999.23
1000,499.172690586422
2000,249.583634916411
3000,166.389664491285
4000,124.793581819865
5000,99.8352871524825
6000,83.1951764816289
7000,71.3115916435596
8000,62.3960754873219
9000,55.4631299893473
10000,49.9171453995381
