tps,arrivals,collisions,commits,duration
1000,10007,10,9990,19
2000,20012,35,19965,47
3000,30016,60,29940,72
4000,40017,138,39862,101
5000,50023,240,49760,129
6000,60028,315,59685,152
7000,70034,396,69604,183
8000,80041,519,79481,206
9000,90043,640,89360,243
10000,100049,844,99156,271
