tps,arrivals,collisions,commits,duration
100,1001,2,998,0
1000,10007,100,9900,17
2000,20007,401,19599,45
3000,30019,896,29104,68
4000,40016,1647,38353,94
5000,50016,2462,47538,117
6000,60026,3654,56346,147
7000,70034,4769,65231,166
8000,80039,6348,73652,196
9000,90045,7835,82165,212
10000,100037,9375,90625,246
