"lam","U"
100,362.520386771478
200,170.315832074536
300,111.140911399828
400,82.456133802447
500,65.5190976202311
600,54.34696270606
700,46.4473797164964
800,40.5372664372297
900,35.9692696020539
1000,32.3208512151823
2000,16.0517102707728
3000,10.6765992895151
4000,8.00119934628919
5000,6.39375762441772
