tps,arrivals,collisions,commits,duration
1000,10010,1,9999,17
2000,20007,2,19998,41
3000,30013,13,29987,69
4000,40025,38,39962,91
5000,50022,46,49954,115
6000,60034,58,59942,142
7000,70030,78,69922,174
8000,80043,141,79859,199
9000,90049,133,89867,226
10000,100055,185,99815,249
